"","REF_DATE","GEO","Sex","Work.absence.statistics","VALUE"
"6663",1992,"Montréal, Quebec","Females","Incidence rate",3.5
"6666",1992,"Montréal, Quebec","Females","Inactivity rate",2.8
"6669",1992,"Montréal, Quebec","Females","Days",7
"6681",1992,"Ottawa-Gatineau, Ontario/Quebec","Males","Incidence rate",1.3
"6684",1992,"Ottawa-Gatineau, Ontario/Quebec","Males","Inactivity rate",0.4
"6687",1992,"Ottawa-Gatineau, Ontario/Quebec","Males","Days",1
"6690",1992,"Ottawa-Gatineau, Ontario/Quebec","Females","Incidence rate",4
"6693",1992,"Ottawa-Gatineau, Ontario/Quebec","Females","Inactivity rate",2.9
"6696",1992,"Ottawa-Gatineau, Ontario/Quebec","Females","Days",7.2
"6708",1992,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Males","Incidence rate",1.4
"6711",1992,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Males","Inactivity rate",0.4
"6714",1992,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Males","Days",1
"6717",1992,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Females","Incidence rate",3.9
"6720",1992,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Females","Inactivity rate",2.7
"6723",1992,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Females","Days",6.7
"6735",1992,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Males","Incidence rate",NA
"6738",1992,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Males","Inactivity rate",NA
"6741",1992,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Males","Days",NA
"6744",1992,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Females","Incidence rate",4.5
"6747",1992,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Females","Inactivity rate",3.5
"6750",1992,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Females","Days",8.8
"6762",1992,"Kingston, Ontario","Males","Incidence rate",NA
"6765",1992,"Kingston, Ontario","Males","Inactivity rate",NA
"6768",1992,"Kingston, Ontario","Males","Days",NA
"6771",1992,"Kingston, Ontario","Females","Incidence rate",NA
"6774",1992,"Kingston, Ontario","Females","Inactivity rate",NA
"6777",1992,"Kingston, Ontario","Females","Days",NA
"6789",1992,"Oshawa, Ontario","Males","Incidence rate",NA
"6792",1992,"Oshawa, Ontario","Males","Inactivity rate",NA
"6795",1992,"Oshawa, Ontario","Males","Days",NA
"6798",1992,"Oshawa, Ontario","Females","Incidence rate",NA
"6801",1992,"Oshawa, Ontario","Females","Inactivity rate",NA
"6804",1992,"Oshawa, Ontario","Females","Days",NA
"6816",1992,"Toronto, Ontario","Males","Incidence rate",0.6
"6819",1992,"Toronto, Ontario","Males","Inactivity rate",0.2
"6822",1992,"Toronto, Ontario","Males","Days",0.6
"6825",1992,"Toronto, Ontario","Females","Incidence rate",2.7
"6828",1992,"Toronto, Ontario","Females","Inactivity rate",2.1
"6831",1992,"Toronto, Ontario","Females","Days",5.3
"6843",1992,"Hamilton, Ontario","Males","Incidence rate",NA
"6846",1992,"Hamilton, Ontario","Males","Inactivity rate",NA
"6849",1992,"Hamilton, Ontario","Males","Days",NA
"6852",1992,"Hamilton, Ontario","Females","Incidence rate",3.7
"6855",1992,"Hamilton, Ontario","Females","Inactivity rate",2.9
"6858",1992,"Hamilton, Ontario","Females","Days",7.4
"6870",1992,"St. Catharines-Niagara, Ontario","Males","Incidence rate",NA
"6873",1992,"St. Catharines-Niagara, Ontario","Males","Inactivity rate",NA
"6876",1992,"St. Catharines-Niagara, Ontario","Males","Days",NA
"6879",1992,"St. Catharines-Niagara, Ontario","Females","Incidence rate",NA
"6882",1992,"St. Catharines-Niagara, Ontario","Females","Inactivity rate",NA
"6885",1992,"St. Catharines-Niagara, Ontario","Females","Days",NA
"6897",1992,"Kitchener-Cambridge-Waterloo, Ontario","Males","Incidence rate",NA
"6900",1992,"Kitchener-Cambridge-Waterloo, Ontario","Males","Inactivity rate",NA
"6903",1992,"Kitchener-Cambridge-Waterloo, Ontario","Males","Days",NA
"6906",1992,"Kitchener-Cambridge-Waterloo, Ontario","Females","Incidence rate",3.7
"6909",1992,"Kitchener-Cambridge-Waterloo, Ontario","Females","Inactivity rate",2.6
"6912",1992,"Kitchener-Cambridge-Waterloo, Ontario","Females","Days",6.6
"6924",1992,"London, Ontario","Males","Incidence rate",NA
"6927",1992,"London, Ontario","Males","Inactivity rate",NA
"6930",1992,"London, Ontario","Males","Days",NA
"6933",1992,"London, Ontario","Females","Incidence rate",3.4
"6936",1992,"London, Ontario","Females","Inactivity rate",2.9
"6939",1992,"London, Ontario","Females","Days",7.2
"6951",1992,"Windsor, Ontario","Males","Incidence rate",NA
"6954",1992,"Windsor, Ontario","Males","Inactivity rate",NA
"6957",1992,"Windsor, Ontario","Males","Days",NA
"6960",1992,"Windsor, Ontario","Females","Incidence rate",NA
"6963",1992,"Windsor, Ontario","Females","Inactivity rate",NA
"6966",1992,"Windsor, Ontario","Females","Days",NA
"6978",1992,"Greater Sudbury, Ontario","Males","Incidence rate",NA
"6981",1992,"Greater Sudbury, Ontario","Males","Inactivity rate",NA
"6984",1992,"Greater Sudbury, Ontario","Males","Days",NA
"6987",1992,"Greater Sudbury, Ontario","Females","Incidence rate",NA
"6990",1992,"Greater Sudbury, Ontario","Females","Inactivity rate",NA
"6993",1992,"Greater Sudbury, Ontario","Females","Days",NA
"7005",1992,"Thunder Bay, Ontario","Males","Incidence rate",NA
"7008",1992,"Thunder Bay, Ontario","Males","Inactivity rate",NA
"7011",1992,"Thunder Bay, Ontario","Males","Days",NA
"7014",1992,"Thunder Bay, Ontario","Females","Incidence rate",NA
"7017",1992,"Thunder Bay, Ontario","Females","Inactivity rate",NA
"7020",1992,"Thunder Bay, Ontario","Females","Days",NA
"7032",1992,"Winnipeg, Manitoba","Males","Incidence rate",1.3
"7035",1992,"Winnipeg, Manitoba","Males","Inactivity rate",0.3
"7038",1992,"Winnipeg, Manitoba","Males","Days",0.8
"7041",1992,"Winnipeg, Manitoba","Females","Incidence rate",3.1
"7044",1992,"Winnipeg, Manitoba","Females","Inactivity rate",1.8
"7047",1992,"Winnipeg, Manitoba","Females","Days",4.5
"7059",1992,"Regina, Saskatchewan","Males","Incidence rate",NA
"7062",1992,"Regina, Saskatchewan","Males","Inactivity rate",NA
"7065",1992,"Regina, Saskatchewan","Males","Days",NA
"7068",1992,"Regina, Saskatchewan","Females","Incidence rate",3.4
"7071",1992,"Regina, Saskatchewan","Females","Inactivity rate",2.7
"7074",1992,"Regina, Saskatchewan","Females","Days",6.8
"7086",1992,"Saskatoon, Saskatchewan","Males","Incidence rate",NA
"7089",1992,"Saskatoon, Saskatchewan","Males","Inactivity rate",NA
"7092",1992,"Saskatoon, Saskatchewan","Males","Days",NA
"7095",1992,"Saskatoon, Saskatchewan","Females","Incidence rate",2.9
"7098",1992,"Saskatoon, Saskatchewan","Females","Inactivity rate",2.2
"7101",1992,"Saskatoon, Saskatchewan","Females","Days",5.4
"7113",1992,"Calgary, Alberta","Males","Incidence rate",NA
"7116",1992,"Calgary, Alberta","Males","Inactivity rate",NA
"7119",1992,"Calgary, Alberta","Males","Days",NA
"7122",1992,"Calgary, Alberta","Females","Incidence rate",3
"7125",1992,"Calgary, Alberta","Females","Inactivity rate",2
"7128",1992,"Calgary, Alberta","Females","Days",5.1
"7140",1992,"Edmonton, Alberta","Males","Incidence rate",1.4
"7143",1992,"Edmonton, Alberta","Males","Inactivity rate",0.5
"7146",1992,"Edmonton, Alberta","Males","Days",1.2
"7149",1992,"Edmonton, Alberta","Females","Incidence rate",3.1
"7152",1992,"Edmonton, Alberta","Females","Inactivity rate",2.2
"7155",1992,"Edmonton, Alberta","Females","Days",5.5
"7167",1992,"Abbotsford-Mission, British Columbia","Males","Incidence rate",NA
"7170",1992,"Abbotsford-Mission, British Columbia","Males","Inactivity rate",NA
"7173",1992,"Abbotsford-Mission, British Columbia","Males","Days",NA
"7176",1992,"Abbotsford-Mission, British Columbia","Females","Incidence rate",NA
"7179",1992,"Abbotsford-Mission, British Columbia","Females","Inactivity rate",NA
"7182",1992,"Abbotsford-Mission, British Columbia","Females","Days",NA
"7194",1992,"Vancouver, British Columbia","Males","Incidence rate",1
"7197",1992,"Vancouver, British Columbia","Males","Inactivity rate",0.3
"7200",1992,"Vancouver, British Columbia","Males","Days",0.8
"7203",1992,"Vancouver, British Columbia","Females","Incidence rate",2.2
"7206",1992,"Vancouver, British Columbia","Females","Inactivity rate",1.7
"7209",1992,"Vancouver, British Columbia","Females","Days",4.3
"7221",1992,"Victoria, British Columbia","Males","Incidence rate",NA
"7224",1992,"Victoria, British Columbia","Males","Inactivity rate",NA
"7227",1992,"Victoria, British Columbia","Males","Days",NA
"7230",1992,"Victoria, British Columbia","Females","Incidence rate",NA
"7233",1992,"Victoria, British Columbia","Females","Inactivity rate",NA
"7236",1992,"Victoria, British Columbia","Females","Days",NA
"7248",1992,"Non-census metropolitan areas","Males","Incidence rate",1.1
"7251",1992,"Non-census metropolitan areas","Males","Inactivity rate",0.4
"7254",1992,"Non-census metropolitan areas","Males","Days",0.9
"7257",1992,"Non-census metropolitan areas","Females","Incidence rate",3.4
"7260",1992,"Non-census metropolitan areas","Females","Inactivity rate",2.4
"7263",1992,"Non-census metropolitan areas","Females","Days",6.1
"7275",1992,"Population centres","Males","Incidence rate",1
"7278",1992,"Population centres","Males","Inactivity rate",0.3
"7281",1992,"Population centres","Males","Days",0.8
"7284",1992,"Population centres","Females","Incidence rate",3.3
"7287",1992,"Population centres","Females","Inactivity rate",2.5
"7290",1992,"Population centres","Females","Days",6.2
"7302",1993,"Canada","Males","Incidence rate",1.1
"7305",1993,"Canada","Males","Inactivity rate",0.3
"7308",1993,"Canada","Males","Days",0.9
"7311",1993,"Canada","Females","Incidence rate",3.5
"7314",1993,"Canada","Females","Inactivity rate",2.6
"7317",1993,"Canada","Females","Days",6.6
"7329",1993,"Atlantic region","Males","Incidence rate",0.9
"7332",1993,"Atlantic region","Males","Inactivity rate",0.3
"7335",1993,"Atlantic region","Males","Days",0.7
"7338",1993,"Atlantic region","Females","Incidence rate",2.9
"7341",1993,"Atlantic region","Females","Inactivity rate",2
"7344",1993,"Atlantic region","Females","Days",5
"7356",1993,"Newfoundland and Labrador","Males","Incidence rate",0.8
"7359",1993,"Newfoundland and Labrador","Males","Inactivity rate",0.3
"7362",1993,"Newfoundland and Labrador","Males","Days",0.7
"7365",1993,"Newfoundland and Labrador","Females","Incidence rate",2.4
"7368",1993,"Newfoundland and Labrador","Females","Inactivity rate",1.8
"7371",1993,"Newfoundland and Labrador","Females","Days",4.4
"7383",1993,"Prince Edward Island","Males","Incidence rate",NA
"7386",1993,"Prince Edward Island","Males","Inactivity rate",NA
"7389",1993,"Prince Edward Island","Males","Days",NA
"7392",1993,"Prince Edward Island","Females","Incidence rate",2.9
"7395",1993,"Prince Edward Island","Females","Inactivity rate",2.1
"7398",1993,"Prince Edward Island","Females","Days",5.2
"7410",1993,"Nova Scotia","Males","Incidence rate",0.8
"7413",1993,"Nova Scotia","Males","Inactivity rate",0.3
"7416",1993,"Nova Scotia","Males","Days",0.7
"7419",1993,"Nova Scotia","Females","Incidence rate",3.2
"7422",1993,"Nova Scotia","Females","Inactivity rate",2.2
"7425",1993,"Nova Scotia","Females","Days",5.6
"7437",1993,"New Brunswick","Males","Incidence rate",1.1
"7440",1993,"New Brunswick","Males","Inactivity rate",0.3
"7443",1993,"New Brunswick","Males","Days",0.7
"7446",1993,"New Brunswick","Females","Incidence rate",2.9
"7449",1993,"New Brunswick","Females","Inactivity rate",1.8
"7452",1993,"New Brunswick","Females","Days",4.6
"7464",1993,"Quebec","Males","Incidence rate",1
"7467",1993,"Quebec","Males","Inactivity rate",0.3
"7470",1993,"Quebec","Males","Days",0.8
"7473",1993,"Quebec","Females","Incidence rate",4.1
"7476",1993,"Quebec","Females","Inactivity rate",3.2
"7479",1993,"Quebec","Females","Days",8
"7491",1993,"Ontario","Males","Incidence rate",1
"7494",1993,"Ontario","Males","Inactivity rate",0.3
"7497",1993,"Ontario","Males","Days",0.8
"7500",1993,"Ontario","Females","Incidence rate",3.5
"7503",1993,"Ontario","Females","Inactivity rate",2.7
"7506",1993,"Ontario","Females","Days",6.7
"7518",1993,"Prairie region","Males","Incidence rate",1.3
"7521",1993,"Prairie region","Males","Inactivity rate",0.4
"7524",1993,"Prairie region","Males","Days",1.1
"7527",1993,"Prairie region","Females","Incidence rate",3.6
"7530",1993,"Prairie region","Females","Inactivity rate",2.4
"7533",1993,"Prairie region","Females","Days",6.1
"7545",1993,"Manitoba","Males","Incidence rate",1.6
"7548",1993,"Manitoba","Males","Inactivity rate",0.4
"7551",1993,"Manitoba","Males","Days",1.1
"7554",1993,"Manitoba","Females","Incidence rate",3.9
"7557",1993,"Manitoba","Females","Inactivity rate",2.4
"7560",1993,"Manitoba","Females","Days",6.1
"7572",1993,"Saskatchewan","Males","Incidence rate",1.2
"7575",1993,"Saskatchewan","Males","Inactivity rate",0.4
"7578",1993,"Saskatchewan","Males","Days",0.9
"7581",1993,"Saskatchewan","Females","Incidence rate",3.7
"7584",1993,"Saskatchewan","Females","Inactivity rate",2.7
"7587",1993,"Saskatchewan","Females","Days",6.6
"7599",1993,"Alberta","Males","Incidence rate",1.2
"7602",1993,"Alberta","Males","Inactivity rate",0.4
"7605",1993,"Alberta","Males","Days",1.1
"7608",1993,"Alberta","Females","Incidence rate",3.4
"7611",1993,"Alberta","Females","Inactivity rate",2.4
"7614",1993,"Alberta","Females","Days",5.9
"7626",1993,"British Columbia","Males","Incidence rate",1.1
"7629",1993,"British Columbia","Males","Inactivity rate",0.4
"7632",1993,"British Columbia","Males","Days",0.9
"7635",1993,"British Columbia","Females","Incidence rate",2.8
"7638",1993,"British Columbia","Females","Inactivity rate",2
"7641",1993,"British Columbia","Females","Days",5.1
"7653",1993,"Total census metropolitan areas","Males","Incidence rate",1.1
"7656",1993,"Total census metropolitan areas","Males","Inactivity rate",0.3
"7659",1993,"Total census metropolitan areas","Males","Days",0.9
"7662",1993,"Total census metropolitan areas","Females","Incidence rate",3.4
"7665",1993,"Total census metropolitan areas","Females","Inactivity rate",2.6
"7668",1993,"Total census metropolitan areas","Females","Days",6.5
"7680",1993,"St. John's, Newfoundland and Labrador","Males","Incidence rate",NA
"7683",1993,"St. John's, Newfoundland and Labrador","Males","Inactivity rate",NA
"7686",1993,"St. John's, Newfoundland and Labrador","Males","Days",NA
"7689",1993,"St. John's, Newfoundland and Labrador","Females","Incidence rate",2.8
"7692",1993,"St. John's, Newfoundland and Labrador","Females","Inactivity rate",2.1
"7695",1993,"St. John's, Newfoundland and Labrador","Females","Days",5.3
"7707",1993,"Halifax, Nova Scotia","Males","Incidence rate",0.9
"7710",1993,"Halifax, Nova Scotia","Males","Inactivity rate",0.3
"7713",1993,"Halifax, Nova Scotia","Males","Days",0.7
"7716",1993,"Halifax, Nova Scotia","Females","Incidence rate",3.4
"7719",1993,"Halifax, Nova Scotia","Females","Inactivity rate",2.4
"7722",1993,"Halifax, Nova Scotia","Females","Days",6
"7734",1993,"Saint John, New Brunswick","Males","Incidence rate",NA
"7737",1993,"Saint John, New Brunswick","Males","Inactivity rate",NA
"7740",1993,"Saint John, New Brunswick","Males","Days",NA
"7743",1993,"Saint John, New Brunswick","Females","Incidence rate",3.7
"7746",1993,"Saint John, New Brunswick","Females","Inactivity rate",2.4
"7749",1993,"Saint John, New Brunswick","Females","Days",6
"7761",1993,"Saguenay, Quebec","Males","Incidence rate",NA
"7764",1993,"Saguenay, Quebec","Males","Inactivity rate",NA
"7767",1993,"Saguenay, Quebec","Males","Days",NA
"7770",1993,"Saguenay, Quebec","Females","Incidence rate",NA
"7773",1993,"Saguenay, Quebec","Females","Inactivity rate",NA
"7776",1993,"Saguenay, Quebec","Females","Days",NA
"7788",1993,"Québec, Quebec","Males","Incidence rate",NA
"7791",1993,"Québec, Quebec","Males","Inactivity rate",NA
"7794",1993,"Québec, Quebec","Males","Days",NA
"7797",1993,"Québec, Quebec","Females","Incidence rate",3.7
"7800",1993,"Québec, Quebec","Females","Inactivity rate",2.9
"7803",1993,"Québec, Quebec","Females","Days",7.3
"7815",1993,"Sherbrooke, Quebec","Males","Incidence rate",NA
"7818",1993,"Sherbrooke, Quebec","Males","Inactivity rate",NA
"7821",1993,"Sherbrooke, Quebec","Males","Days",NA
"7824",1993,"Sherbrooke, Quebec","Females","Incidence rate",NA
"7827",1993,"Sherbrooke, Quebec","Females","Inactivity rate",NA
"7830",1993,"Sherbrooke, Quebec","Females","Days",NA
"7842",1993,"Trois-Rivières, Quebec","Males","Incidence rate",NA
"7845",1993,"Trois-Rivières, Quebec","Males","Inactivity rate",NA
"7848",1993,"Trois-Rivières, Quebec","Males","Days",NA
"7851",1993,"Trois-Rivières, Quebec","Females","Incidence rate",NA
"7854",1993,"Trois-Rivières, Quebec","Females","Inactivity rate",NA
"7857",1993,"Trois-Rivières, Quebec","Females","Days",NA
"7869",1993,"Montréal, Quebec","Males","Incidence rate",0.9
"7872",1993,"Montréal, Quebec","Males","Inactivity rate",0.3
"7875",1993,"Montréal, Quebec","Males","Days",0.8
"7878",1993,"Montréal, Quebec","Females","Incidence rate",3.4
"7881",1993,"Montréal, Quebec","Females","Inactivity rate",2.7
"7884",1993,"Montréal, Quebec","Females","Days",6.7
"7896",1993,"Ottawa-Gatineau, Ontario/Quebec","Males","Incidence rate",1.4
"7899",1993,"Ottawa-Gatineau, Ontario/Quebec","Males","Inactivity rate",0.4
"7902",1993,"Ottawa-Gatineau, Ontario/Quebec","Males","Days",1.1
"7905",1993,"Ottawa-Gatineau, Ontario/Quebec","Females","Incidence rate",4.5
"7908",1993,"Ottawa-Gatineau, Ontario/Quebec","Females","Inactivity rate",3.2
"7911",1993,"Ottawa-Gatineau, Ontario/Quebec","Females","Days",7.9
"7923",1993,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Males","Incidence rate",1.2
"7926",1993,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Males","Inactivity rate",0.4
"7929",1993,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Males","Days",0.9
"7932",1993,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Females","Incidence rate",4.1
"7935",1993,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Females","Inactivity rate",3
"7938",1993,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Females","Days",7.4
"7950",1993,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Males","Incidence rate",NA
"7953",1993,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Males","Inactivity rate",NA
"7956",1993,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Males","Days",NA
"7959",1993,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Females","Incidence rate",5.3
"7962",1993,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Females","Inactivity rate",3.6
"7965",1993,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Females","Days",9
"7977",1993,"Kingston, Ontario","Males","Incidence rate",NA
"7980",1993,"Kingston, Ontario","Males","Inactivity rate",NA
"7983",1993,"Kingston, Ontario","Males","Days",NA
"7986",1993,"Kingston, Ontario","Females","Incidence rate",NA
"7989",1993,"Kingston, Ontario","Females","Inactivity rate",NA
"7992",1993,"Kingston, Ontario","Females","Days",NA
"8004",1993,"Oshawa, Ontario","Males","Incidence rate",NA
"8007",1993,"Oshawa, Ontario","Males","Inactivity rate",NA
"8010",1993,"Oshawa, Ontario","Males","Days",NA
"8013",1993,"Oshawa, Ontario","Females","Incidence rate",4.5
"8016",1993,"Oshawa, Ontario","Females","Inactivity rate",3.6
"8019",1993,"Oshawa, Ontario","Females","Days",9.1
"8031",1993,"Toronto, Ontario","Males","Incidence rate",0.8
"8034",1993,"Toronto, Ontario","Males","Inactivity rate",0.3
"8037",1993,"Toronto, Ontario","Males","Days",0.7
"8040",1993,"Toronto, Ontario","Females","Incidence rate",3.3
"8043",1993,"Toronto, Ontario","Females","Inactivity rate",2.7
"8046",1993,"Toronto, Ontario","Females","Days",6.7
"8058",1993,"Hamilton, Ontario","Males","Incidence rate",NA
"8061",1993,"Hamilton, Ontario","Males","Inactivity rate",NA
"8064",1993,"Hamilton, Ontario","Males","Days",NA
"8067",1993,"Hamilton, Ontario","Females","Incidence rate",3.3
"8070",1993,"Hamilton, Ontario","Females","Inactivity rate",2.7
"8073",1993,"Hamilton, Ontario","Females","Days",6.7
"8085",1993,"St. Catharines-Niagara, Ontario","Males","Incidence rate",NA
"8088",1993,"St. Catharines-Niagara, Ontario","Males","Inactivity rate",NA
"8091",1993,"St. Catharines-Niagara, Ontario","Males","Days",NA
"8094",1993,"St. Catharines-Niagara, Ontario","Females","Incidence rate",NA
"8097",1993,"St. Catharines-Niagara, Ontario","Females","Inactivity rate",NA
"8100",1993,"St. Catharines-Niagara, Ontario","Females","Days",NA
"8112",1993,"Kitchener-Cambridge-Waterloo, Ontario","Males","Incidence rate",NA
"8115",1993,"Kitchener-Cambridge-Waterloo, Ontario","Males","Inactivity rate",NA
"8118",1993,"Kitchener-Cambridge-Waterloo, Ontario","Males","Days",NA
"8121",1993,"Kitchener-Cambridge-Waterloo, Ontario","Females","Incidence rate",3.7
"8124",1993,"Kitchener-Cambridge-Waterloo, Ontario","Females","Inactivity rate",2.6
"8127",1993,"Kitchener-Cambridge-Waterloo, Ontario","Females","Days",6.5
"8139",1993,"London, Ontario","Males","Incidence rate",NA
"8142",1993,"London, Ontario","Males","Inactivity rate",NA
"8145",1993,"London, Ontario","Males","Days",NA
"8148",1993,"London, Ontario","Females","Incidence rate",3.2
"8151",1993,"London, Ontario","Females","Inactivity rate",2.7
"8154",1993,"London, Ontario","Females","Days",6.8
"8166",1993,"Windsor, Ontario","Males","Incidence rate",NA
"8169",1993,"Windsor, Ontario","Males","Inactivity rate",NA
"8172",1993,"Windsor, Ontario","Males","Days",NA
"8175",1993,"Windsor, Ontario","Females","Incidence rate",NA
"8178",1993,"Windsor, Ontario","Females","Inactivity rate",NA
"8181",1993,"Windsor, Ontario","Females","Days",NA
"8193",1993,"Greater Sudbury, Ontario","Males","Incidence rate",NA
"8196",1993,"Greater Sudbury, Ontario","Males","Inactivity rate",NA
"8199",1993,"Greater Sudbury, Ontario","Males","Days",NA
"8202",1993,"Greater Sudbury, Ontario","Females","Incidence rate",NA
"8205",1993,"Greater Sudbury, Ontario","Females","Inactivity rate",NA
"8208",1993,"Greater Sudbury, Ontario","Females","Days",NA
"8220",1993,"Thunder Bay, Ontario","Males","Incidence rate",NA
"8223",1993,"Thunder Bay, Ontario","Males","Inactivity rate",NA
"8226",1993,"Thunder Bay, Ontario","Males","Days",NA
"8229",1993,"Thunder Bay, Ontario","Females","Incidence rate",NA
"8232",1993,"Thunder Bay, Ontario","Females","Inactivity rate",NA
"8235",1993,"Thunder Bay, Ontario","Females","Days",NA
"8247",1993,"Winnipeg, Manitoba","Males","Incidence rate",1.6
"8250",1993,"Winnipeg, Manitoba","Males","Inactivity rate",0.5
"8253",1993,"Winnipeg, Manitoba","Males","Days",1.1
"8256",1993,"Winnipeg, Manitoba","Females","Incidence rate",3.9
"8259",1993,"Winnipeg, Manitoba","Females","Inactivity rate",2.4
"8262",1993,"Winnipeg, Manitoba","Females","Days",6.1
"8274",1993,"Regina, Saskatchewan","Males","Incidence rate",NA
"8277",1993,"Regina, Saskatchewan","Males","Inactivity rate",NA
"8280",1993,"Regina, Saskatchewan","Males","Days",NA
"8283",1993,"Regina, Saskatchewan","Females","Incidence rate",3.5
"8286",1993,"Regina, Saskatchewan","Females","Inactivity rate",2.7
"8289",1993,"Regina, Saskatchewan","Females","Days",6.7
"8301",1993,"Saskatoon, Saskatchewan","Males","Incidence rate",NA
"8304",1993,"Saskatoon, Saskatchewan","Males","Inactivity rate",NA
"8307",1993,"Saskatoon, Saskatchewan","Males","Days",NA
"8310",1993,"Saskatoon, Saskatchewan","Females","Incidence rate",3.1
"8313",1993,"Saskatoon, Saskatchewan","Females","Inactivity rate",1.9
"8316",1993,"Saskatoon, Saskatchewan","Females","Days",4.8
"8328",1993,"Calgary, Alberta","Males","Incidence rate",1.3
"8331",1993,"Calgary, Alberta","Males","Inactivity rate",0.5
"8334",1993,"Calgary, Alberta","Males","Days",1.2
"8337",1993,"Calgary, Alberta","Females","Incidence rate",4.4
"8340",1993,"Calgary, Alberta","Females","Inactivity rate",3.2
"8343",1993,"Calgary, Alberta","Females","Days",8
"8355",1993,"Edmonton, Alberta","Males","Incidence rate",1.1
"8358",1993,"Edmonton, Alberta","Males","Inactivity rate",0.4
"8361",1993,"Edmonton, Alberta","Males","Days",1
"8364",1993,"Edmonton, Alberta","Females","Incidence rate",2.7
"8367",1993,"Edmonton, Alberta","Females","Inactivity rate",1.8
"8370",1993,"Edmonton, Alberta","Females","Days",4.6
"8382",1993,"Abbotsford-Mission, British Columbia","Males","Incidence rate",NA
"8385",1993,"Abbotsford-Mission, British Columbia","Males","Inactivity rate",NA
"8388",1993,"Abbotsford-Mission, British Columbia","Males","Days",NA
"8391",1993,"Abbotsford-Mission, British Columbia","Females","Incidence rate",NA
"8394",1993,"Abbotsford-Mission, British Columbia","Females","Inactivity rate",NA
"8397",1993,"Abbotsford-Mission, British Columbia","Females","Days",NA
"8409",1993,"Vancouver, British Columbia","Males","Incidence rate",1
"8412",1993,"Vancouver, British Columbia","Males","Inactivity rate",0.3
"8415",1993,"Vancouver, British Columbia","Males","Days",0.9
"8418",1993,"Vancouver, British Columbia","Females","Incidence rate",2.8
"8421",1993,"Vancouver, British Columbia","Females","Inactivity rate",2.1
"8424",1993,"Vancouver, British Columbia","Females","Days",5.3
"8436",1993,"Victoria, British Columbia","Males","Incidence rate",NA
"8439",1993,"Victoria, British Columbia","Males","Inactivity rate",NA
"8442",1993,"Victoria, British Columbia","Males","Days",NA
"8445",1993,"Victoria, British Columbia","Females","Incidence rate",NA
"8448",1993,"Victoria, British Columbia","Females","Inactivity rate",NA
"8451",1993,"Victoria, British Columbia","Females","Days",NA
"8463",1993,"Non-census metropolitan areas","Males","Incidence rate",1.2
"8466",1993,"Non-census metropolitan areas","Males","Inactivity rate",0.4
"8469",1993,"Non-census metropolitan areas","Males","Days",0.9
"8472",1993,"Non-census metropolitan areas","Females","Incidence rate",3.9
"8475",1993,"Non-census metropolitan areas","Females","Inactivity rate",2.8
"8478",1993,"Non-census metropolitan areas","Females","Days",7
"8490",1993,"Population centres","Males","Incidence rate",0.9
"8493",1993,"Population centres","Males","Inactivity rate",0.3
"8496",1993,"Population centres","Males","Days",0.7
"8499",1993,"Population centres","Females","Incidence rate",3.3
"8502",1993,"Population centres","Females","Inactivity rate",2.4
"8505",1993,"Population centres","Females","Days",6.1
"8517",1994,"Canada","Males","Incidence rate",1.1
"8520",1994,"Canada","Males","Inactivity rate",0.4
"8523",1994,"Canada","Males","Days",0.9
"8526",1994,"Canada","Females","Incidence rate",3.6
"8529",1994,"Canada","Females","Inactivity rate",2.6
"8532",1994,"Canada","Females","Days",6.5
"8544",1994,"Atlantic region","Males","Incidence rate",1.1
"8547",1994,"Atlantic region","Males","Inactivity rate",0.4
"8550",1994,"Atlantic region","Males","Days",0.9
"8553",1994,"Atlantic region","Females","Incidence rate",3.2
"8556",1994,"Atlantic region","Females","Inactivity rate",2.4
"8559",1994,"Atlantic region","Females","Days",6
"8571",1994,"Newfoundland and Labrador","Males","Incidence rate",0.9
"8574",1994,"Newfoundland and Labrador","Males","Inactivity rate",0.3
"8577",1994,"Newfoundland and Labrador","Males","Days",0.8
"8580",1994,"Newfoundland and Labrador","Females","Incidence rate",2.9
