Product code	Product label	Turkey's exports to Israel-Value in 2001	Turkey's exports to Israel-Value in 2002	Turkey's exports to Israel-Value in 2003	Turkey's exports to Israel-Value in 2004	Turkey's exports to Israel-Value in 2005	Turkey's exports to Israel-Value in 2006	Turkey's exports to Israel-Value in 2007	Turkey's exports to Israel-Value in 2008	Turkey's exports to Israel-Value in 2009	Turkey's exports to Israel-Value in 2010	Turkey's exports to Israel-Value in 2011	Turkey's exports to Israel-Value in 2012	Turkey's exports to Israel-Value in 2013	Turkey's exports to Israel-Value in 2014	Turkey's exports to Israel-Value in 2015	Turkey's exports to Israel-Value in 2016	Turkey's exports to Israel-Value in 2017	Israel's imports from world- 	Israel's imports from world-Value in 2001	Israel's imports from world-Value in 2002	Israel's imports from world-Value in 2003	Israel's imports from world-Value in 2004	Israel's imports from world-Value in 2005	Israel's imports from world-Value in 2006	Israel's imports from world-Value in 2007	Israel's imports from world-Value in 2008	Israel's imports from world-Value in 2009	Israel's imports from world-Value in 2010	Israel's imports from world-Value in 2011	Israel's imports from world-Value in 2012	Israel's imports from world-Value in 2013	Israel's imports from world-Value in 2014	Israel's imports from world-Value in 2015	Israel's imports from world-Value in 2016	Israel's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
18	"Cocoa and cocoa preparations"	3243	5756	14152	16127	13670	11190	13079	9768	10550	19370	25463	24184	31040	24301	21400	20256	20990		53170	60000	71983	77240	80835	75194	95240	109792	106266	134821	167228	158669	167680	182872	185363	200281	212189		90960	103121	181426	231784	243688	271733	364300	390622	371683	430928	509920	550006	612414	638559	555752	476221	523445	
56	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	1807	2246	2724	2902	4000	3399	4373	5195	2484	6439	8296	17520	13958	14820	23823	29172	22698		79826	77342	84044	101376	110456	94998	84833	90208	79319	102561	103761	58198	61225	62196	65743	74031	67303		56374	67266	98236	166638	178883	172705	205557	221699	227952	302555	406620	476730	513645	578202	570180	612456	647136	
07	"Edible vegetables and certain roots and tubers"	5228	3046	3001	5057	4956	6343	5165	5454	7325	7650	6262	3580	3989	5149	16774	22792	22820		39658	36195	44125	0	43722	52511	67449	104758	77745	81787	91369	82642	106182	103362	145816	140298	143138		375229	319988	473336	485740	533203	706556	861385	952658	1020546	1107483	1070414	966063	1039070	1082368	1040648	941997	1002137	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	12273	9368	12577	14343	16248	11306	13423	19440	17804	22102	21485	24907	20338	18596	22806	23755	24079		84992	73213	82271	0	112354	117530	124862	169156	137768	165606	190474	199769	200118	271297	267057	260438	302415		1201056	1170709	1391984	1902515	2501037	2388333	2670618	2855302	3001898	3490879	3908880	3806416	3969004	4327138	4355366	3872709	3940925	
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	20451	17142	16530	16918	16725	19949	18796	18750	15848	19184	23431	23405	27786	26810	28269	34561	34444		74892	71323	74568	84634	93388	99842	121803	140682	123674	149391	166689	173837	185118	219624	207391	218653	234165		1055227	1248022	1631925	1856536	1969748	1920431	2110210	2097710	1647817	1838582	2138565	1903514	2191131	2227852	1899423	1953915	2017275	
96	"Miscellaneous manufactured articles"	1112	1068	1126	1158	1322	1521	1367	1252	912	1178	1363	30256	25801	26520	21249	21503	35470		65584	59918	61926	70925	76123	78980	93308	106273	84314	105941	111312	236476	242109	266345	252479	251221	277273		36145	42068	58341	69957	79538	97260	116259	119648	109467	118355	128444	796447	990124	1079876	970872	864211	872790	
60	"Knitted or crocheted fabrics"	17573	15812	14234	19450	18578	22703	30338	26183	20492	28614	31350	31298	36453	39119	35195	37468	36222		89819	78662	71683	85303	57114	54860	73720	62968	54001	62311	70386	76796	83048	88763	88568	89582	90953		238948	263624	343559	441763	571082	753162	1011908	1132497	978721	1265851	1482848	1560629	1681870	1693530	1440792	1497948	1554920	
24	"Tobacco and manufactured tobacco substitutes"	50	39	50	271	785	1934	2886	7855	8683	13202	15530	25687	38775	35511	43277	45647	38891		124549	123763	115295	122686	122244	123775	137712	166581	164967	189406	204085	204834	216237	227493	224996	249540	249663		435367	385033	418809	477848	590047	684890	643799	704550	757499	697027	670625	842432	904504	1072108	918492	1006056	946199	
70	"Glass and glassware"	15392	13250	13626	14904	15288	15309	15908	24911	22131	26273	31311	30418	35078	40457	37671	40436	39794		133831	133264	134952	165893	153585	176793	199985	238736	198006	214212	239455	251710	240338	263815	249573	274204	294559		410675	443738	520303	614566	631492	680145	829217	1016809	838628	903293	977705	955747	993181	1063084	1042265	953568	916145	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	4358	5585	8534	13457	10382	12208	17146	26022	21361	22821	30804	35863	40760	33103	29202	37857	42445		81965	81538	84927	94457	101192	112448	159396	205611	185785	189873	213169	218820	241827	251274	245010	275039	293270		131114	164044	239009	304125	348444	401959	532908	711939	678128	804479	1037190	1234702	1544821	1656090	1505591	1500485	1618547	
57	"Carpets and other textile floor coverings"	5161	6303	9121	11173	14230	14818	17422	18927	16423	19660	26513	30383	30631	34583	34653	37627	42772		26962	22740	19701	22608	25803	27920	32662	34051	30836	36323	44422	45562	49832	59596	57436	62903	66972		263254	286558	381036	517543	669989	743093	991984	1158452	1075386	1266828	1601798	1997286	2187814	2347582	2009356	1912553	2162564	
74	"Copper and articles thereof"	25606	24930	27514	39894	49612	73898	57452	76869	41637	53648	51577	34900	33010	33450	25804	26986	43728		121430	114152	120269	171813	189600	312136	331483	340320	170451	237181	299920	255250	246759	223612	194429	190638	216723		201846	183964	240312	382127	511132	815296	880253	1157409	597029	1063476	1391376	1384008	1456674	1427549	1169216	1114156	1441815	
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ..."	15890	19002	16628	21803	32221	32154	32502	41068	33793	33394	37976	34743	40012	40914	35663	37275	44038		132663	152278	151307	156495	167146	188727	219655	265726	244178	287504	291530	297925	326289	325746	291420	290542	339905		233289	261134	319076	377372	412067	485225	516667	662605	647727	678101	767737	854429	915527	1016321	868379	758972	780074	
76	"Aluminium and articles thereof"	11901	14346	15176	18313	18261	18058	16335	16402	15162	18024	18711	23958	33188	38923	38718	47176	56340		242111	238288	244745	285291	325782	423937	530673	499823	323409	434620	516283	465949	536539	561304	523773	519837	575055		321041	345430	497338	649488	875609	1233803	1619640	1776509	1399411	1916086	2285695	2251943	2363206	2546906	2370147	2237340	2513763	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	18486	20964	21529	20154	21513	23775	27637	32147	30972	35354	40119	38896	43773	48217	50102	58220	69547		110206	111890	94556	98587	105587	110705	141130	159087	139891	172457	198478	215021	235194	272294	248185	247875	282955		198047	272150	384157	573970	753624	892405	1039626	1146343	919023	1028277	1119838	1223766	1378181	1430296	1265505	1171851	1204247	
69	"Ceramic products"	21934	26816	36702	41228	43704	41795	49684	62303	54637	60861	64233	65982	69420	70822	61959	64384	70901		169037	159476	151402	176398	194720	209489	247363	289737	276501	315182	330389	332090	361483	382901	371877	381103	428900		325802	392251	503840	640640	683485	692766	823184	868880	675845	787063	882715	954301	1001217	1021550	875413	884909	970157	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	16288	22073	22443	20004	17748	18423	19773	22632	18556	22020	26031	26421	33448	36255	40551	58929	80759		385224	348955	305080	331382	343986	380120	479416	558864	522052	624331	708469	696432	743307	830519	817698	901784	1054679		245707	358692	634417	855707	958345	1101804	1484142	1891085	1588862	1786405	2110174	2420661	2830674	2970948	2753604	2658514	2761898	
25	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	19405	29336	27721	24785	26962	25880	29292	36494	49672	53711	62632	67313	68535	69127	76190	86076	87946		100513	97149	110805	122598	123411	130070	186193	505963	162824	235297	294325	309572	325253	365472	387829	358334	407879		536920	598409	732669	917980	1124129	1154984	1453815	2279827	2164536	2509673	2465459	2480760	2746094	2548072	2252947	2174499	2573426	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	29913	36441	42281	50869	53794	43768	54041	67141	57376	66541	85809	49032	62027	68542	65619	80084	90483		541798	477630	466391	549723	591744	635834	729382	834878	622385	762133	810353	658100	705568	715783	612147	642843	691233		251063	315008	386200	478502	582101	624667	861427	1077653	1004769	1216836	1427254	1033095	1140573	1203727	1185523	1353499	1521008	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	31006	40502	42433	38546	38208	39127	42492	39388	36750	53762	48114	51021	58027	67115	71979	86117	103097		5891232	7481072	8005111	9558285	10015394	9391851	10397791	9688169	5562282	8698694	11108307	8538954	9342254	9646335	7238447	7495561	7111172		472780	619189	810364	1063946	1325764	1824130	2623772	5383129	5929025	3747222	3738763	16325215	6998608	7716840	11263517	12176385	10878497	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	30280	26951	25259	26407	25259	25957	31210	35680	32675	40298	37924	43014	45609	59519	66612	87045	103457		207421	191506	188508	243840	263097	323502	387533	491766	456034	495789	624622	715078	774497	817584	815110	917647	985592		3641200	4426210	5732569	6259222	6590352	6938275	8022460	7826732	6925548	7731212	8385636	8418618	9244940	10024248	8928097	8849344	8849652	
73	"Articles of iron or steel"	29049	36014	40166	36328	73567	65887	58031	79387	56949	59510	78677	63731	75024	119971	81476	79966	116173		411461	427077	414436	500408	577560	652551	858011	881060	671950	808642	1155521	1010635	868088	954152	879770	991065	1095974		975727	1237215	1391047	2226923	2731357	3336371	4129749	5742363	4545275	4850216	5748004	6093117	6148046	6356117	5465810	4964336	5602685	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	33782	37536	39783	39233	42251	50133	56906	66940	59044	70423	89305	97325	120125	139530	155975	178572	183497		328370	313503	317461	342100	376935	416185	500875	562740	493901	563012	654387	645281	691594	778642	723115	693138	745093		2639429	3234295	3813876	4536829	4862376	4710984	5445286	5326729	4294831	4636123	5124460	5431268	5714199	6232503	5917103	5925410	5950783	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	40351	36212	31855	39861	69146	88502	121816	131689	102626	149521	181309	173355	194808	192956	181670	173197	194466		4842852	4121895	4179825	5061790	4900550	4881809	5364622	5870360	5249743	5963909	7381271	7681487	7481311	7547759	7966618	8114883	7338604		2259929	2851855	3474510	4790306	5423346	6327750	7422515	7971713	6630701	7530130	8874013	9373078	9544253	9692254	8280121	7827991	8097223	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	23364	27701	38660	55743	61788	75140	110116	131919	100817	120514	129707	142114	154360	153973	144226	177153	195486		3847277	3631491	3336352	3856696	4253158	4759248	6091144	6858951	4841398	5575387	8077957	7793932	6548726	6769740	6665017	8620475	9532218		1744972	2131140	2992983	4125934	5246419	6516726	8781251	10258590	8132787	9413411	11560990	11999300	12989247	13591126	12333803	12339237	13830708	
39	"Plastics and articles thereof"	23953	25224	31278	43720	54194	65325	79419	99003	81868	93275	114630	118973	143038	171623	181039	197117	233835		924562	888562	1035588	1357743	1490797	1781488	2112300	2242541	1570301	2025980	2352330	2323840	2427683	2564774	2274142	2364809	2619380		610143	676461	926036	1323732	1722148	2214266	2822051	3563148	3093759	3716596	4580258	5012899	5608724	6097283	5358854	5025870	5476514	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	18019	98266	157978	181276	158523	185436	235741	317238	155831	360799	344732	290982	388754	507125	464846	428162	504671		2183561	1894789	1848145	2304557	2519210	2704468	3525905	4224986	3541258	4420867	4851962	4237111	4956007	5500388	4733454	6945737	5908512		2335381	3289845	5272017	8288799	9566435	11886092	15903675	18326711	12251734	13812677	15803438	15148114	17000250	18063448	17463564	19801974	23946390	
72	"Iron and steel"	106007	116750	167106	247232	242445	226576	282220	276509	213114	332007	437099	453072	458749	507573	324664	413266	545106		449202	476013	556639	797124	844193	928345	1255908	1490647	834358	1166260	1512799	1368645	1460021	1366492	1269690	1133280	1364015		2069932	2223241	2969012	5313308	4973475	6273353	8372266	14946358	7641010	8740067	11225329	11332482	9918794	9244173	6556743	6180353	8238262	
