Product code	Product label	Turkey's exports to United States of America-Value in 2001	Turkey's exports to United States of America-Value in 2002	Turkey's exports to United States of America-Value in 2003	Turkey's exports to United States of America-Value in 2004	Turkey's exports to United States of America-Value in 2005	Turkey's exports to United States of America-Value in 2006	Turkey's exports to United States of America-Value in 2007	Turkey's exports to United States of America-Value in 2008	Turkey's exports to United States of America-Value in 2009	Turkey's exports to United States of America-Value in 2010	Turkey's exports to United States of America-Value in 2011	Turkey's exports to United States of America-Value in 2012	Turkey's exports to United States of America-Value in 2013	Turkey's exports to United States of America-Value in 2014	Turkey's exports to United States of America-Value in 2015	Turkey's exports to United States of America-Value in 2016	Turkey's exports to United States of America-Value in 2017	United States of America's imports from world- 	United States of America's imports from world-Value in 2001	United States of America's imports from world-Value in 2002	United States of America's imports from world-Value in 2003	United States of America's imports from world-Value in 2004	United States of America's imports from world-Value in 2005	United States of America's imports from world-Value in 2006	United States of America's imports from world-Value in 2007	United States of America's imports from world-Value in 2008	United States of America's imports from world-Value in 2009	United States of America's imports from world-Value in 2010	United States of America's imports from world-Value in 2011	United States of America's imports from world-Value in 2012	United States of America's imports from world-Value in 2013	United States of America's imports from world-Value in 2014	United States of America's imports from world-Value in 2015	United States of America's imports from world-Value in 2016	United States of America's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	1876	1982	2228	995	866	872	1014	1406	1191	1375	1130	2492	7287	3599	4120	103869	45034		755283	730215	783920	983192	1076538	1203823	1479878	2078626	1674519	1711264	2128204	2423851	3061914	3730605	2669126	2476754	2466950		53684	50682	73323	80261	96607	116198	129699	149713	154652	182887	229737	238304	278886	255552	199972	372814	284781	
29	"Organic chemicals"	27149	21745	36867	33507	30296	46660	39666	65204	64411	50655	44032	83567	80187	67331	84265	94615	51911		31833344	33626717	36797929	39170843	41686073	44617241	46143289	53415321	45810683	48869923	57130766	54537754	54538159	54711121	52009419	51097507	46092510		155599	164746	207263	298290	255321	346186	374341	486560	347698	520499	545361	646889	598460	534418	473941	472804	657067	
56	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	2918	6916	11011	28732	17313	12432	13900	17887	17446	24258	38583	53364	47690	47069	62716	56320	60223		902155	1017515	1124161	1344266	1470175	1489041	1601848	1605165	1333757	1624668	1764792	1811387	1938802	2068360	2231178	2165985	2224842		56374	67266	98236	166638	178883	172705	205557	221699	227952	302555	406620	476730	513645	578202	570180	612456	647136	
21	"Miscellaneous edible preparations"	400	639	797	2116	1740	1995	4449	11798	16945	23022	55129	40965	39334	50339	49946	57535	60754		1428866	1708025	1877502	2287414	2531436	2838027	2972069	3125913	3100978	3515704	3863748	4152740	4304949	4339798	4392828	4496691	4795095		101738	128560	159716	194286	235660	325668	437292	545692	541313	554692	715533	717680	764246	784319	695253	686295	687045	
89	"Ships, boats and floating structures"	4144	4004	5683	9220	22906	163495	34812	46588	53122	50908	61607	39251	37388	31558	21543	25184	60946		1209306	1357484	1931712	2139444	1765380	1593578	1967097	1725441	1291970	1636169	1211986	1889866	1846193	1467647	2732317	1935351	2555836		308647	290073	440511	686334	1251573	1398516	1818572	2647859	1826247	1108614	1271173	812835	1139344	1270033	996784	970058	1308252	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	21937	10778	41057	29645	52186	41903	39381	13406	26303	12741	5722	18041	94012	16370	11859	19107	66189		1185808	1406279	1632234	2331332	2474134	2912416	3550936	5450215	3980883	4549092	6861383	6219968	6118468	6154634	6018381	6481348	7192179		234827	155093	347174	277049	502911	512917	401667	766003	511000	458236	1026173	1200983	1402820	1176513	994364	1045131	1034034	
54	"Man-made filaments; strip and the like of man-made textile materials"	32611	43647	50141	48840	47839	39194	41217	47469	30875	48379	54145	58631	69970	70947	83782	74913	73905		1826073	1945231	1935575	2054179	2337262	2293808	2324525	2220947	1672397	2059030	2357945	2413352	2451996	2416677	2423328	2206805	2169257		470301	500132	638824	796562	894103	1036892	1256300	1336016	1075024	1249851	1446859	1478091	1689747	1772567	1564154	1486897	1539454	
17	"Sugars and sugar confectionery"	2205	3516	5704	4283	4686	5847	10029	17360	22732	20446	21814	37482	55706	58465	51648	80644	77927		1533883	1825158	2054846	2121397	2521947	3104942	2623116	2994196	3041692	3940983	4962694	4552296	3988816	4148550	4225260	4287831	4244463		335473	148205	186972	217803	202307	274446	297454	346599	294188	387421	474168	504689	633330	669765	556988	527456	586058	
76	"Aluminium and articles thereof"	2495	4214	10302	20152	35320	32839	30278	20801	19682	23584	19310	24395	22500	30363	35188	42318	78469		8478000	9275145	9924379	12971163	15898312	19418646	18577935	17999351	12003361	14721255	16206445	15969678	15678772	17114460	17868410	19063199	23405714		321041	345430	497338	649488	875609	1233803	1619640	1776509	1399411	1916086	2285695	2251943	2363206	2546906	2370147	2237340	2513763	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	15052	15547	15888	18479	31552	32890	23872	35936	26844	45093	69588	79511	71066	80745	82054	70997	79900		6759953	6955012	8338870	9195583	11280156	12639091	14960773	18606158	11827118	15008633	18553609	16764901	15438101	14264020	13156703	12348431	11528673		211934	218311	238106	315746	373079	462425	516632	679620	611669	930672	1216057	1266598	1199165	1320975	1248975	1085811	1318097	
69	"Ceramic products"	24016	40755	54427	68128	74827	63718	48336	35889	19777	28619	31627	42768	51845	63646	71490	75516	84295		3757018	4483270	4949185	5420538	5909710	6326328	5934193	5417767	3962698	5059830	5653017	5713728	5954835	6357267	6442360	6420093	6663096		325802	392251	503840	640640	683485	692766	823184	868880	675845	787063	882715	954301	1001217	1021550	875413	884909	970157	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	10423	20698	24882	34084	27680	28079	31012	24792	21326	25869	32050	35015	42518	67456	94584	106046	91741		23228342	28931025	32597544	37266768	41229825	43932046	44882684	41919409	32472699	41278015	43058201	47855696	51335977	55782891	61163743	63196997	67229726		245707	358692	634417	855707	958345	1101804	1484142	1891085	1588862	1786405	2110174	2420661	2830674	2970948	2753604	2658514	2761898	
93	"Arms and ammunition; parts and accessories thereof"	8738	17765	16607	15646	25463	39506	43974	27060	31290	32940	45007	93331	142392	109136	113496	114858	107463		847034	994223	1118475	1379627	1476562	1867307	2241983	2388169	2855838	2784357	2685492	3200627	3751463	3277895	3055559	3458991	3021805		22713	43941	71820	75471	79473	122205	160002	191962	135699	187625	238017	335990	432602	512762	440855	416715	296869	
39	"Plastics and articles thereof"	12641	16545	19454	23063	36536	38858	33390	36320	25770	35011	44053	56702	66450	83143	86228	92937	117408		19131740	21514537	24273391	28252482	33660468	36421957	36459734	37712492	29906968	36909554	41407087	44249296	46376567	50128863	50244766	50817331	54879660		610143	676461	926036	1323732	1722148	2214266	2822051	3563148	3093759	3716596	4580258	5012899	5608724	6097283	5358854	5025870	5476514	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	57509	36824	28442	34315	29233	28906	26478	27024	24461	28172	29606	42847	42053	69558	51847	69810	118567		154545799	155000919	161089132	188922896	211734514	233603613	253600325	256521117	217770988	262956516	283319355	296413164	303213067	319671075	333525810	340855922	356783703		2259929	2851855	3474510	4790306	5423346	6327750	7422515	7971713	6630701	7530130	8874013	9373078	9544253	9692254	8280121	7827991	8097223	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	34571	40981	53253	58432	54490	66047	73003	79594	58794	86723	82368	86076	87796	111485	113904	108464	120736		3890937	5044300	5505736	6001580	6704104	7307133	8240369	8609051	8933831	10005583	10918610	11378334	12472835	13969901	15428069	15785164	18103261		1201056	1170709	1391984	1902515	2501037	2388333	2670618	2855302	3001898	3490879	3908880	3806416	3969004	4327138	4355366	3872709	3940925	
55	"Man-made staple fibres"	40371	37365	35556	50633	62566	70385	84042	79527	61955	81643	108944	96935	114601	130337	119175	108061	122989		1076461	1231894	1223935	1389950	1574286	1677600	1901545	1838905	1284521	1687862	1987946	1873759	1845423	1971434	2035361	1780668	1736743		640085	627223	767028	925406	963201	1033834	1045084	1035586	948939	1120571	1334818	1378287	1381678	1456061	1347763	1316833	1429189	
40	"Rubber and articles thereof"	16041	16095	12397	20233	34617	42948	39895	54096	39030	62857	87464	95907	85126	103140	100571	92655	133329		9327043	10803515	12131633	14430964	16931778	18602037	19834835	21519684	16255988	22948120	29248048	29862326	28699419	29053980	27913489	26328302	27965146		458890	513990	684092	841431	1008639	1192419	1589147	1807993	1468685	1895911	2593022	2424868	2482053	2597295	2165622	2201788	2494978	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	24549	23844	33349	40499	50022	66094	63920	66232	63630	78005	85739	90344	94299	112628	119359	125804	136439		2635086	3073096	3547151	3887487	4303476	4700912	5710720	6407056	5653660	5935851	6938875	7238043	7276820	7432227	7722117	7862272	8542520		528010	509922	671357	980423	1281470	1119942	1314079	1441032	1276305	1491356	1653520	1722134	1800527	2089921	2187063	1848411	1880152	
25	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	50857	40959	60988	60832	70794	62826	29439	35821	13413	27537	32791	35320	49970	62512	82099	119691	141512		2005235	2427825	2648612	3192678	4089448	4477853	3779471	4314647	2397524	2859261	3476164	3435226	3256415	3628149	3768313	3341172	3736611		536920	598409	732669	917980	1124129	1154984	1453815	2279827	2164536	2509673	2465459	2480760	2746094	2548072	2252947	2174499	2573426	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	535540	690909	720624	593941	417611	329621	259144	143467	92585	113412	113584	120468	114234	122504	148653	143945	150885		26857682	29100678	31057464	33037964	34850598	37199805	39650951	39028121	34668152	39949253	43285857	42598146	44423860	46627468	48514527	47225399	45784246		3641200	4426210	5732569	6259222	6590352	6938275	8022460	7826732	6925548	7731212	8385636	8418618	9244940	10024248	8928097	8849344	8849652	
24	"Tobacco and manufactured tobacco substitutes"	143082	107303	100713	144747	164241	139298	172112	96523	184226	110766	107729	166640	148159	189318	148460	160207	156385		1237361	1373368	1355795	1343842	1371683	1368773	1486544	1509079	1614089	1457871	1569191	1871561	2221678	2096577	2097265	2256344	2176159		435367	385033	418809	477848	590047	684890	643799	704550	757499	697027	670625	842432	904504	1072108	918492	1006056	946199	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	472445	506787	519830	565348	497392	349570	227881	150732	80776	101271	107170	117132	114770	113931	124789	147237	160186		31687314	32265765	34674530	36930620	39308173	39680699	39269256	37335435	32127205	35696560	38246891	38089455	39319973	39099513	40574495	39982160	37834529		2639429	3234295	3813876	4536829	4862376	4710984	5445286	5326729	4294831	4636123	5124460	5431268	5714199	6232503	5917103	5925410	5950783	
73	"Articles of iron or steel"	35744	70819	85463	150313	214954	139081	65485	235019	128017	166716	241941	362975	296455	340907	333986	239471	232467		13859142	15318980	16262412	21203543	25825526	30343135	33716364	40156844	25569371	28272508	33880172	39709307	36250209	39706132	38721778	33757474	39115885		975727	1237215	1391047	2226923	2731357	3336371	4129749	5742363	4545275	4850216	5748004	6093117	6148046	6356117	5465810	4964336	5602685	
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	203005	271330	301999	363897	352901	330948	314257	255055	178729	200152	208682	211041	214269	226145	219747	242286	248297		4882563	6014734	7113235	8409663	9703184	10628884	11229657	11010309	9908282	11856454	12464556	12712647	13405321	13901702	14909880	14797761	15459633		1055227	1248022	1631925	1856536	1969748	1920431	2110210	2097710	1647817	1838582	2138565	1903514	2191131	2227852	1899423	1953915	2017275	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	210020	234704	265911	352341	373290	298338	324392	193410	135666	141895	129641	130635	132733	152517	165342	218248	265906		26066337	26559766	28160322	33360225	37219358	43955833	47582536	48673086	37191801	52859464	67032353	62822893	64465513	64072251	58320314	65778892	60006905		472780	619189	810364	1063946	1325764	1824130	2623772	5383129	5929025	3747222	3738763	16325215	6998608	7716840	11263517	12176385	10878497	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	61631	91385	141569	224200	318677	384669	388761	317642	211202	223327	246094	261103	308762	346012	347522	314553	325948		3485694	4105709	4520232	5419524	6313995	7109817	7081668	6290595	4504549	5062562	5503277	5946884	6696907	7246553	7784497	7979818	8417644		198047	272150	384157	573970	753624	892405	1039626	1146343	919023	1028277	1119838	1223766	1378181	1430296	1265505	1171851	1204247	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	59979	132400	124169	125439	517304	383385	323651	438703	122763	194636	152307	163772	150678	101626	48301	83104	429633		122031851	120731508	161037920	217233149	301444841	345157650	372341595	501942112	279146203	364169509	462775842	432713698	389365180	358259447	200696084	169520762	204233367		444700	683159	980133	1429186	2641145	3567425	5147932	7531776	3921300	4469479	6539030	7708169	6724654	6111840	4518440	3211455	4325262	
57	"Carpets and other textile floor coverings"	33979	24143	28795	46214	62787	73036	92104	83904	77672	119369	147511	182449	220523	271570	273734	328136	464067		1414382	1618624	1762768	1946256	2116638	2260379	2240037	2028161	1571576	1848137	2025801	2154707	2286063	2579823	2650192	2798280	2904898		263254	286558	381036	517543	669989	743093	991984	1158452	1075386	1266828	1601798	1997286	2187814	2347582	2009356	1912553	2162564	
88	"Aircraft, spacecraft, and parts thereof"	302503	28965	241220	167573	134623	176872	146668	103765	171436	172006	183248	265400	304767	254486	281147	275839	723037		21249763	17715802	16977332	16345046	16436486	17695781	21990600	21689117	18465618	18911013	21633822	24411528	29585078	34469899	35307799	32425243	30903567		524656	126794	444167	490812	254890	404605	530902	259140	285910	294359	343630	500686	688549	595661	688755	717532	1534670	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	162651	147974	143953	178571	220648	298652	368723	409974	273871	409344	454968	597969	618611	711082	679257	711592	752923		161318654	165420426	174756454	205712898	228042378	250076929	256322763	255213353	207524194	255407350	294378904	315095389	311300329	331205458	330044570	319085907	349105215		1744972	2131140	2992983	4125934	5246419	6516726	8781251	10258590	8132787	9413411	11560990	11999300	12989247	13591126	12333803	12339237	13830708	
72	"Iron and steel"	192329	302711	201913	890643	483633	785898	256633	550006	124995	268809	501073	625524	512700	1141334	912256	920503	951736		10486632	12431094	10946596	24015697	23617014	30703542	27078829	33608976	13052702	22516681	29666949	30452428	26732093	36000222	27865816	22667649	28842365		2069932	2223241	2969012	5313308	4973475	6273353	8372266	14946358	7641010	8740067	11225329	11332482	9918794	9244173	6556743	6180353	8238262	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	29900	33272	74551	110118	103560	103130	110503	184105	523030	405243	620388	817644	663961	457933	762137	688527	1386345		159333058	173086566	178076264	194371112	203103648	219008537	218153543	198654781	133354532	185981678	206182707	244174855	253081966	265323956	284383662	283617499	294588067		2335381	3289845	5272017	8288799	9566435	11886092	15903675	18326711	12251734	13812677	15803438	15148114	17000250	18063448	17463564	19801974	23946390	
