Product code	Product label	Turkey's exports to United Arab Emirates-Value in 2001	Turkey's exports to United Arab Emirates-Value in 2002	Turkey's exports to United Arab Emirates-Value in 2003	Turkey's exports to United Arab Emirates-Value in 2004	Turkey's exports to United Arab Emirates-Value in 2005	Turkey's exports to United Arab Emirates-Value in 2006	Turkey's exports to United Arab Emirates-Value in 2007	Turkey's exports to United Arab Emirates-Value in 2008	Turkey's exports to United Arab Emirates-Value in 2009	Turkey's exports to United Arab Emirates-Value in 2010	Turkey's exports to United Arab Emirates-Value in 2011	Turkey's exports to United Arab Emirates-Value in 2012	Turkey's exports to United Arab Emirates-Value in 2013	Turkey's exports to United Arab Emirates-Value in 2014	Turkey's exports to United Arab Emirates-Value in 2015	Turkey's exports to United Arab Emirates-Value in 2016	Turkey's exports to United Arab Emirates-Value in 2017	United Arab Emirates's imports from world- 	United Arab Emirates's imports from world-Value in 2001	United Arab Emirates's imports from world-Value in 2002	United Arab Emirates's imports from world-Value in 2003	United Arab Emirates's imports from world-Value in 2004	United Arab Emirates's imports from world-Value in 2005	United Arab Emirates's imports from world-Value in 2006	United Arab Emirates's imports from world-Value in 2007	United Arab Emirates's imports from world-Value in 2008	United Arab Emirates's imports from world-Value in 2009	United Arab Emirates's imports from world-Value in 2010	United Arab Emirates's imports from world-Value in 2011	United Arab Emirates's imports from world-Value in 2012	United Arab Emirates's imports from world-Value in 2013	United Arab Emirates's imports from world-Value in 2014	United Arab Emirates's imports from world-Value in 2015	United Arab Emirates's imports from world-Value in 2016	United Arab Emirates's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	1413	4241	8956	8343	8093	6037	8194	13400	12513	18719	19028	20100	24322	26577	25083	26352	21797						955321		1431102	1738860				3132755	3379890	3814387	2520748	2360158	2447743		83613	98725	153503	203187	256755	306866	361008	448352	418311	492007	558717	621208	705871	771351	695467	696371	762627	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	2188	7165	11617	14676	13939	18472	17912	22114	16853	14503	16793	25368	27184	27176	18857	20688	22341						166191		245513	370300				659126	780385	861640	818358	1057240	873237		131114	164044	239009	304125	348444	401959	532908	711939	678128	804479	1037190	1234702	1544821	1656090	1505591	1500485	1618547	
22	"Beverages, spirits and vinegar"	282	330	494	753	808	1105	2417	5691	5713	7208	6134	7382	10414	14648	19526	19353	23713						174645		240585	327216				822995	911838	1197090	578520	525816	1087830		36654	42050	70429	113696	148627	147177	174557	194316	180748	229518	258721	285734	295391	325988	315239	290543	320193	
24	"Tobacco and manufactured tobacco substitutes"	45343	40850	1130	537	689	1095	1782	3878	6698	7475	13258	27764	26664	32234	35320	28237	27462						437035		294916	209263				1711569	1573347	2161045	773284	769260	1255198		435367	385033	418809	477848	590047	684890	643799	704550	757499	697027	670625	842432	904504	1072108	918492	1006056	946199	
18	"Cocoa and cocoa preparations"	1860	3800	3752	3929	5445	5398	7811	8933	11003	13619	18109	20128	21042	25032	23795	24713	30764						131766		183429	228458				386669	441248	545746	499369	516862	442651		90960	103121	181426	231784	243688	271733	364300	390622	371683	430928	509920	550006	612414	638559	555752	476221	523445	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	4854	3080	2810	3760	4377	3700	4822	9908	7934	9486	10487	16521	25880	32725	35556	40839	36958						464521		778485	954809				1619133	1874739	2147090	2203106	2064757	1763604		1201056	1170709	1391984	1902515	2501037	2388333	2670618	2855302	3001898	3490879	3908880	3806416	3969004	4327138	4355366	3872709	3940925	
39	"Plastics and articles thereof"	4216	6561	12529	18211	20048	24767	30835	45907	35745	25330	29394	33497	43429	49062	51138	48910	50480						1565455		2752751	3392712				4604454	4762834	5232660	3838883	3524514	4495961		610143	676461	926036	1323732	1722148	2214266	2822051	3563148	3093759	3716596	4580258	5012899	5608724	6097283	5358854	5025870	5476514	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	2601	2392	3472	4157	10364	14017	16536	48333	29048	25499	32012	42507	45183	47008	51934	51807	55499						329469		587097	838693				724616	779363	828542	757526	778899	809142		198047	272150	384157	573970	753624	892405	1039626	1146343	919023	1028277	1119838	1223766	1378181	1430296	1265505	1171851	1204247	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	8024	10493	12534	12487	13118	16527	25180	37983	26648	34343	47179	62243	66454	71661	69595	62919	59269						847493		1236416	1530172				2392038	2649493	2949718	1986554	1741191	3851217		2639429	3234295	3813876	4536829	4862376	4710984	5445286	5326729	4294831	4636123	5124460	5431268	5714199	6232503	5917103	5925410	5950783	
73	"Articles of iron or steel"	2928	5868	9290	30786	25799	52702	48526	59449	32269	35266	46989	49167	47664	50901	60969	52788	61636						1760231		3732655	5639089				7454414	5845095	5611539	4387120	4172535	3885698		975727	1237215	1391047	2226923	2731357	3336371	4129749	5742363	4545275	4850216	5748004	6093117	6148046	6356117	5465810	4964336	5602685	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	2114	3991	5618	6321	7385	11423	15899	19418	18423	27153	35806	56186	56862	63684	67862	69846	64934						583871		925303	1087103				2561413	2849601	3328241	2107270	1825250	4337882		3641200	4426210	5732569	6259222	6590352	6938275	8022460	7826732	6925548	7731212	8385636	8418618	9244940	10024248	8928097	8849344	8849652	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	22594	7305	23037	9828	20171	15048	32125	39914	63943	42324	23669	26670	34071	44063	53623	76067	67321						6728184		11750502	17335777				19380539	22323539	23653590	19098690	16257286	13984009		2335381	3289845	5272017	8288799	9566435	11886092	15903675	18326711	12251734	13812677	15803438	15148114	17000250	18063448	17463564	19801974	23946390	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	4722	6013	9777	9315	12477	13541	18882	80196	73442	35752	29074	27883	47419	78589	88778	84543	69369						914525		1551128	2109194				2235693	2301862	2739052	2282730	2092030	2808933		245707	358692	634417	855707	958345	1101804	1484142	1891085	1588862	1786405	2110174	2420661	2830674	2970948	2753604	2658514	2761898	
57	"Carpets and other textile floor coverings"	3751	5751	6847	9976	11516	15460	19564	31383	25299	28340	40268	60702	61628	75300	70776	76173	73430						101909		147812	184618				219794	240401	284123	204524	194886	277677		263254	286558	381036	517543	669989	743093	991984	1158452	1075386	1266828	1601798	1997286	2187814	2347582	2009356	1912553	2162564	
72	"Iron and steel"	139417	175799	376986	591926	917334	1087270	1742654	5270501	908956	1226989	937531	744461	680228	776961	586905	458472	105894						2737503		5458601	12484788				5274533	5016336	6005610	3536181	3036969	3439768		2069932	2223241	2969012	5313308	4973475	6273353	8372266	14946358	7641010	8740067	11225329	11332482	9918794	9244173	6556743	6180353	8238262	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	13693	11580	15241	23522	32240	40283	71446	119623	65961	68062	75398	90164	125186	191764	176310	139219	129026						8048507		14105176	18521927				32077162	31552243	35487783	20974587	20664514	23755585		1744972	2131140	2992983	4125934	5246419	6516726	8781251	10258590	8132787	9413411	11560990	11999300	12989247	13591126	12333803	12339237	13830708	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	17726	14557	30812	39299	42778	61612	127414	214561	160638	121523	116309	103460	96676	112595	135665	200344	137213						8068625		10164060	14271941				30282441	37060537	41759595	18299382	18768468	23150754		2259929	2851855	3474510	4790306	5423346	6327750	7422515	7971713	6630701	7530130	8874013	9373078	9544253	9692254	8280121	7827991	8097223	
88	"Aircraft, spacecraft, and parts thereof"	45	6406	4	16	42	150	315	525	1371	316	5299	29375	9241	1502	1771	2912	162620						1323418		2006758	4144206				10521285	8296905	8979317	8605473	12426207	10364518		524656	126794	444167	490812	254890	404605	530902	259140	285910	294359	343630	500686	688549	595661	688755	717532	1534670	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	17	10	6	56761	127149	85458	155854	674067	191973	389765	852035	761787	590258	497590	574822	357976	826177						554843		1152356	1770444				8439457	8211965	9022818	1953361	3055142	10028920		444700	683159	980133	1429186	2641145	3567425	5147932	7531776	3921300	4469479	6539030	7708169	6724654	6111840	4518440	3211455	4325262	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	44051	70541	89489	179389	269403	366638	716423	1033552	1011177	943556	1030818	5629232	2504127	1946887	2036044	3067141	6769881						13799819		20929308	33120838				64944792	66903763	54170678	45213228	52896622	41141489		472780	619189	810364	1063946	1325764	1824130	2623772	5383129	5929025	3747222	3738763	16325215	6998608	7716840	11263517	12176385	10878497	
