Product code	Product label	Turkey's imports from Czech Republic-Value in 2001	Turkey's imports from Czech Republic-Value in 2002	Turkey's imports from Czech Republic-Value in 2003	Turkey's imports from Czech Republic-Value in 2004	Turkey's imports from Czech Republic-Value in 2005	Turkey's imports from Czech Republic-Value in 2006	Turkey's imports from Czech Republic-Value in 2007	Turkey's imports from Czech Republic-Value in 2008	Turkey's imports from Czech Republic-Value in 2009	Turkey's imports from Czech Republic-Value in 2010	Turkey's imports from Czech Republic-Value in 2011	Turkey's imports from Czech Republic-Value in 2012	Turkey's imports from Czech Republic-Value in 2013	Turkey's imports from Czech Republic-Value in 2014	Turkey's imports from Czech Republic-Value in 2015	Turkey's imports from Czech Republic-Value in 2016	Turkey's imports from Czech Republic-Value in 2017	Czech Republic's exports to world- 	Czech Republic's exports to world-Value in 2001	Czech Republic's exports to world-Value in 2002	Czech Republic's exports to world-Value in 2003	Czech Republic's exports to world-Value in 2004	Czech Republic's exports to world-Value in 2005	Czech Republic's exports to world-Value in 2006	Czech Republic's exports to world-Value in 2007	Czech Republic's exports to world-Value in 2008	Czech Republic's exports to world-Value in 2009	Czech Republic's exports to world-Value in 2010	Czech Republic's exports to world-Value in 2011	Czech Republic's exports to world-Value in 2012	Czech Republic's exports to world-Value in 2013	Czech Republic's exports to world-Value in 2014	Czech Republic's exports to world-Value in 2015	Czech Republic's exports to world-Value in 2016	Czech Republic's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
0910	"Ginger, saffron, turmeric "curcuma", thyme, bay leaves, curry and other spices (excluding pepper ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1110	1996	1298	283	327	437	490	809	848	1471	2051	2594	3379	4611	3450	2822	4896		780	2055	1228	1026	1895	2094	6767	5120	4259	8005	5869	9297	10636	11660	14348	14494	16112	
1003	"Barley"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		920	5602	22614	17567	60581	48323	73122	58223	48619	47386	100659	111532	70399	50839	96057	86171	92895		6327	2435	15718	39814	10608	12850	13588	92092	27770	11933	13693	26706	85782	164189	48081	9807	72391	
1102	"Cereal flours (excluding wheat or meslin)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		158	79	47	138	466	562	216	289	414	204	361	573	619	1098	846	938	918		4	5	3	6	7	21	134	99	88	99	58	61	107	41	117	160	120	
1202	"Groundnuts, whether or not shelled or broken (excluding roasted or otherwise cooked)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		509	416	97	137	496	746	902	830	437	840	509	570	323	400	560	353	520		401	34	237	3578	24948	2236	20150	21448	4099	11302	20005	21976	10807	16309	58711	21485	23405	
1207	"Other oil seeds and oleaginous fruits, whether or not broken (excluding edible nuts, olives, ..."	0	0	44	22	12	0	0	0	0	0	0	0	0	0	0	0	0		16867	23633	25155	36586	43187	54193	98197	114857	56746	58148	64477	73796	83766	93736	70171	56745	63855		22547	41531	44719	79728	88781	80584	95344	130380	131269	147405	142373	170941	226534	283975	275745	288877	299325	
1507	"Soya-bean oil and its fractions, whether or not refined (excluding chemically modified)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		942	504	1612	1357	3708	4813	901	2790	226	2320	1988	376	372	2312	321	206	484		56213	71738	72670	47590	105484	124146	37372	25738	10484	7339	3349	1097	7053	6165	106	63	94	
1512	"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1579	704	1469	2767	1127	1302	7538	7236	12488	4381	6570	21734	38622	59494	47415	48750	78161		63077	51745	54047	50576	138411	241095	140088	650122	471843	273625	629466	988450	918712	1201108	1101296	1015561	661061	
1513	"Coconut "copra", palm kernel or babassu oil and fractions thereof, whether or not refined, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		191	56	24	23	52	88	318	359	223	341	695	286	593	2591	3342	2636	2660		23424	33473	41766	67206	75412	75156	92471	141968	102130	125685	191343	128825	107383	136816	104347	105375	127559	
1520	"Glycerol, crude; glycerol waters and glycerol lyes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1826	2639	3409	2948	2871	1062	1358	2170	1728	2469	2534	1976	2564	2582	1254	1163	2201		70	42	60	72	117	37	1843	4640	987	1365	2166	2690	1553	3326	2919	5169	5300	
0206	"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		604	373	227	398	664	1122	1775	3711	3930	4407	5883	6260	5572	4251	4472	4712	7814		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0208	"Meat and edible offal of rabbits, hares, pigeons and other animals, fresh, chilled or frozen ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		8848	7573	8361	10021	8240	9562	10112	9214	6928	6080	10632	12580	12162	11149	10665	11515	14179		0	0	66	183	8	38	0	117	19	54	165	0	62	0	0	0	1	
0307	"Molluscs, fit for human consumption, even smoked, whether in shell or not, live, fresh, chilled, ..."	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0		1120	969	1147	1199	1327	909	1407	2869	3401	2236	2289	2128	2687	2757	3787	4819	4348		1050	1960	2673	2707	3781	2792	3382	5329	3858	5183	14415	17312	15066	14728	18224	14763	15587	
1703	"Molasses resulting from the extraction or refining of sugar"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1039	3687	1143	311	1114	2436	1052	1212	1188	670	1893	825	736	1289	2541	1959	1430		620	7895	8753	16664	22720	14826	29251	41017	20314	16996	18815	55866	55198	75411	39310	46240	40545	
1802	"Cocoa shells, husks, skins and other cocoa waste"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3	3	5	28	0	0	0	0	13	0	0	0	0	0	0	4	0		0	5	56	425	309	319	0	0	0	0	0	0	0	2	296	6	78	
1805	"Cocoa powder, not containing added sugar or other sweetening matter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1762	1756	6749	8831	457	507	677	751	1243	3148	6335	4559	3824	2505	2160	2261	2171		5133	10983	20024	21496	13292	14111	19526	20460	26480	45856	71773	58329	64021	50481	49245	45678	57727	
1902	"Pasta, whether or not cooked or stuffed with meat or other substances or otherwise prepared, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6922	8264	10076	13961	16983	18201	23521	33676	26376	26083	40175	34205	41085	40999	32296	33593	35597		443	578	875	1584	2239	2533	2954	4423	4608	5217	6047	6118	7722	14698	9261	7871	9004	
2207	"Undenatured ethyl alcohol of an alcoholic strength of >= 80%; ethyl alcohol and other spirits, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4426	3105	2614	4514	5621	6937	28041	44909	46258	43571	20232	30823	34436	30581	38471	49349	40997		63	96	2960	17978	28116	33827	41356	46744	48764	56824	61684	62262	67921	73227	63074	58716	64508	
2302	"Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3510	3364	7630	7562	7047	11395	17915	14801	5214	8886	18959	18588	24377	21299	16332	14056	14548		3041	13565	29884	97540	50321	36266	58704	73377	42980	73353	121567	147353	192561	224758	212622	241271	320035	
2305	"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	
2606	"Aluminium ores and concentrates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		58	67	105	519	3	6	152	255	411	1	48	60	16	47	4	0	12		3509	4383	5253	6716	9682	8347	12865	19429	7092	14710	16980	13337	15976	14307	10371	9831	16980	
2609	"Tin ores and concentrates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	6	0	
2701	"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		279303	271721	309183	451436	547627	621773	764639	1106474	841436	1021260	1190458	826920	589933	482175	325863	290242	330127		297355	678154	926362	1217531	1573086	1971979	2560462	1253441	1127003	1148499	1274731	1134598	899664	826365	2956530	2627918	3899058	
2838	"Fulminates, cyanates and thiocyanates"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0		14	24	21	26	5	10	0	0	0	0	0	0	0	0	0	0	0		119	146	197	185	228	258	0	0	0	0	0	0	0	0	0	0	0	
2851	"Inorganic compounds, incl. distilled or conductivity water and water of similar purity, n.e.s.; ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		569	787	556	962	762	756	0	0	0	0	0	0	0	0	0	0	0		493	830	1582	949	644	587	0	0	0	0	0	0	0	0	0	0	0	
2903	"Halogenated derivatives of hydrocarbons"	1	1	1	59	121	155	147	85	19	124	454	432	557	584	206	39	0		2310	5238	3366	4761	7907	10977	14849	20703	8833	18353	14873	14046	10048	10827	8698	7115	11097		26025	51069	32576	52904	58911	51775	65597	64049	55832	79949	127594	89226	74623	86238	76105	99150	111424	
2913	"Halogenated, sulphonated, nitrated or nitrosated derivatives of cyclic polymers of aldehydes ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	3	3	0	0	2	0	0	0	3	0	0	0	0	0	0	10		1286	849	1571	128	176	125	105	228	193	84	180	121	289	171	227	200	157	
2920	"Esters of other inorganic acids of non-metals and their salts; their halogenated, sulphonated, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0		20	139	48	57	81	210	369	299	320	118	158	3037	5125	3689	1352	539	773		3746	4287	4346	5862	5401	6668	8279	11113	6411	8075	9501	9074	8052	8940	8354	8278	9941	
2941	"Antibiotics"	0	0	0	0	52	0	99	0	0	247	5	5	5	21	23	5	0		6982	6575	6416	11597	9911	14209	14828	19771	22947	37491	52830	45111	62667	30637	16662	13481	14683		191453	201486	190005	219313	227710	197422	186379	197178	181239	196859	222184	199614	196313	178947	188323	170080	149834	
3003	"Medicaments consisting of two or more constituents mixed together for therapeutic or prophylactic ..."	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1180	720	700	2424	1006	1891	2507	4512	3875	16832	34125	35534	56794	86945	89482	87450	100638		70544	76841	95904	112064	121678	126553	128048	127637	125634	120351	131678	109164	98767	97176	102835	108719	119223	
2814	"Ammonia, anhydrous or in aqueous solution"	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5639	5739	6043	5152	4165	2466	3336	8859	2719	7363	2962	7125	11332	9851	9221	8083	12207		62586	71647	105600	151351	120129	176131	223654	338732	230041	304874	331546	316023	349205	292944	240364	167627	223601	
2818	"Artificial corundum, whether or not chemically defined; aluminium oxide; aluminium hydroxide"	0	0	0	149	728	1121	952	1039	0	0	16	0	0	2	0	0	0		10436	14551	11652	15419	16236	16895	19774	21651	7817	7152	8757	10325	6823	7586	4688	5206	6448		11666	16696	21253	24703	27676	35326	38818	52265	34678	52287	59159	55491	64746	71272	58525	72087	75862	
2826	"Fluorides; fluorosilicates, fluoroaluminates and other complex fluorine salts (excluding inorganic ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		236	180	152	313	459	591	540	518	136	22	13	65	134	91	218	291	203		2470	7563	4401	3403	5540	6604	8603	9019	3018	7846	7560	7707	8212	8157	9384	5926	6786	
2831	"Dithionites and sulfoxylates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		46	99	13	133	92	12	74	220	118	110	238	24	38	24	12	9	38		8723	10102	10926	12870	12791	13887	15657	20881	16102	18986	18371	27454	30838	30864	25457	24102	23035	
2519	"Natural magnesium carbonate "magnesite"; fused magnesia; dead-burned "sintered" magnesia, whether ..."	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0		148	30	391	1264	1761	1431	1903	763	1693	2173	3844	3151	2386	1765	1307	2123	3257		8804	16138	20556	17263	25160	26329	34816	42665	29247	42385	46361	36845	39493	40807	28863	31626	34597	
2526	"Natural steatite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		80	66	67	64	93	67	139	173	143	143	252	245	317	340	320	364	483		1885	3131	3724	5463	5093	5635	6170	6882	5226	6523	9692	7789	9123	8592	8597	9291	10825	
3705	"Photographic plates and film, exposed and developed (excluding products made of paper, paperboard ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		310	561	194	140	166	737	1091	1279	435	395	313	205	387	253	226	218	267		121	134	115	187	625	496	741	322	254	239	438	351	401	505	400	481	424	
4105	"Tanned or crust skins of sheep or lambs, without wool on, whether or not split (excluding further ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		227	153	121	157	35	53	24	25	16	3	21	10	2	1	1	0	0		79817	13157	11032	9016	5531	4766	12321	17151	9651	21329	31522	24322	28101	29045	27358	13361	11860	
4112	"Leather further prepared after tanning or crusting "incl. parchment-dressed leather", of sheep ..."	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0		0	320	164	330	393	199	106	58	68	88	43	75	93	48	32	28	12		0	69417	61720	70588	64905	81217	95484	94799	60471	73350	71798	61953	64714	57367	33173	25073	22244	
4815	"Floor coverings on a base of paper or paperboard, whether or not cut to size (excluding similar ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0		3	312	9	14	10	10	0	0	0	0	0	0	0	0	0	0	0	
5304	"Sisal and other textile fibres of the genus Agave, raw or processed, but not spun; tow and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		7	31	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0		233	282	269	524	259	387	0	0	0	0	0	0	0	0	0	0	0	
5404	"Synthetic monofilament of >= 67 decitex and with a cross sectional dimension of <= 1 mm; strip ..."	0	0	11	49	71	41	56	5	370	388	278	34	67	38	56	35	0		4055	4767	5362	7611	8811	10137	10677	12759	8670	9859	7698	4511	5308	5429	4450	4795	4301		12945	17503	19238	24868	22530	28760	34474	24511	21862	25155	36427	32585	38927	40691	39282	33083	46232	
5502	"Artificial filament tow as specified in Note 1 to chapter 55"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		10	8	97	6	9	1305	2634	2872	11	23	89	128	216	45	21	437	74		58781	65970	36072	55609	45060	51626	81043	60299	70764	69529	73375	94799	98798	111281	112084	103440	108014	
5505	"Waste of man-made staple fibres, incl. noils, yarn waste and garnetted stock"	0	0	0	0	77	0	0	0	0	11	53	0	0	4	14	0	0		821	838	553	1096	1162	1083	1674	1645	1003	1107	4141	4152	4961	4660	3380	2589	2198		2327	4852	8986	9932	11494	9326	13815	11082	5740	9220	11160	6724	4988	5770	4518	5631	9535	
4904	"Music, printed or in manuscript, whether or not bound or illustrated"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0		232	195	303	162	50	44	8	17	387	86	69	60	98	110	249	1204	1349		24	23	25	32	49	59	124	53	47	17	60	23	72	42	75	194	152	
5106	"Carded wool yarn (excluding that put up for retail sale)"	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		359	260	358	316	311	224	184	76	63	5	5	0	11	436	356	340	102		8290	12546	15820	15853	14088	13054	14301	15268	12313	10928	14765	12676	14167	15162	10877	9348	9801	
5609	"Articles of yarn, strip or the like of heading 5404 or 5405, or of twine, cordage, ropes or ..."	0	0	0	0	0	0	0	7	0	29	0	0	0	2	0	16	0		453	662	826	855	942	1310	1431	1633	1109	878	1364	2102	2238	1895	1547	2155	3319		372	394	506	701	837	1341	1890	1906	1576	1828	2064	2188	2753	2203	2039	2097	2898	
5906	"Rubberised textile fabrics (excluding tyre cord fabric of high-tenacity yarn of nylon or other ..."	2	131	327	476	161	113	137	121	172	181	95	94	0	0	0	0	0		1710	1043	534	446	28072	32496	32985	41687	22207	32759	50257	47382	47624	44459	31006	29301	33699		7237	8392	7840	7910	7243	8939	10436	11686	9738	16517	22189	21663	24809	23544	22210	21607	26714	
6113	"Garments, knitted or crocheted, rubberised or impregnated, coated or covered with plastics ..."	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	17	0		273	126	119	134	389	477	462	512	392	356	559	500	487	927	557	594	2504		183	160	427	642	663	763	961	1372	1533	2057	2737	2389	3717	4594	4868	5537	4919	
6503	"Felt hats and other felt headgear, made from the hat bodies, hoods or plateaux of heading 6501, ..."	5	8	0	16	19	0	0	0	0	0	0	0	0	0	0	0	0		3808	3422	3585	2140	1322	2123	0	0	0	0	0	0	0	0	0	0	0		28	32	57	99	337	212	0	0	0	0	0	0	0	0	0	0	0	
6504	"Hats and other headgear, plaited or made by assembling strips of any material, whether or not ..."	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0		83	119	127	78	185	110	199	192	154	192	252	369	262	299	432	837	517		315	348	632	454	386	598	515	696	430	1164	1494	1663	2598	1788	2363	2746	3352	
6213	"Handkerchiefs, of which no side exceeds 60 cm (excluding knitted or crocheted)"	0	6	2	11	6	19	42	7	7	3	0	2	0	0	0	0	0		9485	6208	3897	3939	6386	3055	2994	2980	2325	1925	1590	1471	986	1386	1012	952	718		34	33	122	129	279	766	1267	1210	859	902	1075	508	615	812	731	702	788	
7416	"Copper springs (excluding clock and watch springs, spring washers and other lock washers)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		222	367	376	368	651	1083	0	0	0	0	0	0	0	0	0	0	0		87	70	116	102	60	58	0	0	0	0	0	0	0	0	0	0	0	
7417	"Cooking or heating apparatus of a kind used for domestic purposes, non-electric, and parts ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	3	0	6	13	7	0	0	0	0	0	0	0	0	0	0	0		27	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	
7601	"Unwrought aluminium"	0	0	0	0	0	0	0	0	0	16	0	63	0	0	0	0	0		46191	46270	68150	86455	88996	110232	144756	148192	107674	123370	146491	139149	151589	176756	197208	176093	195282		212092	291858	433354	599142	785431	1239573	1619895	1715744	1073850	1752178	2353232	2110921	2188966	2490682	2326951	1854285	2272962	
7313	"Barbed wire of iron or steel; twisted hoop or single flat wire, barbed or not, and loosely ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		81	49	101	53	49	56	122	148	276	161	124	107	147	436	1105	136	216		488	403	211	437	715	921	1846	1434	597	3832	1082	1387	852	1234	1181	508	346	
7805	"Lead tubes, pipes and tube or pipe fittings "e.g., couplings, elbows, sleeves""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5	7	43	28	32	33	0	0	0	0	0	0	0	0	0	0	0		4	1	0	2	68	0	0	0	0	0	0	0	0	0	0	0	0	
7905	"Zinc plates, sheets, strip and foil"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		478	249	191	269	377	1122	1317	528	536	216	452	1249	2435	12795	4451	1075	195		4	43	140	537	491	1197	1336	1535	958	1949	2342	3209	8778	6692	5393	5203	7147	
8003	"Tin bars, rods, profiles and wire, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		288	363	780	1259	1816	2640	3457	4574	1783	2946	4678	3346	5375	6079	3617	2438	2969		182	470	808	1965	2264	2759	3577	2650	3058	2895	3106	3135	2988	3067	2408	1733	1531	
8004	"Tin plates, sheets and strip, of a thickness of > 0,2 mm"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		25	33	59	120	522	166	0	0	0	0	0	0	0	0	0	0	0		0	2	5	10	13	0	0	0	0	0	0	0	0	0	0	0	0	
8109	"Zirconium and articles thereof, n.e.s.; zirconium waste and scrap (excluding ash and residues ..."	0	0	0	0	0	0	0	0	13	0	6	0	0	0	0	0	0		176	155	73	142	31	39	8	0	35	10	17	35	34	38	219	92	152		328	769	126	211	186	137	158	347	251	214	731	909	1296	1195	1031	1096	1169	
8111	"Manganese and articles thereof, n.e.s.; manganese waste and scrap (excluding ash and residues ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	5	16	44	8	279	381	481	20	87	53	72	249	130	52	167		138	308	407	1013	688	893	2584	3630	1781	2786	4125	2535	3487	4527	3489	3004	5526	
8304	"Filing cabinets, card-index cabinets, paper trays, paper rests, pen trays, office-stamp stands ..."	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0		605	443	422	541	555	667	472	327	292	245	529	226	461	587	621	1419	1894		112	169	202	604	966	843	913	973	705	1078	1746	1197	1415	2059	1670	1794	1088	
8401	"Nuclear reactors; fuel elements "cartridges", non-irradiated, for nuclear reactors; machinery ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2107	4159	17688	28668	24965	26947	21387	4170	19157	25195	54202	140190	18760	24113	11713	23442	2467		1	2	1	23	0	0	154	0	1095	0	0	1	3	0	0	0	0	
8469	"Typewriters and word-processing machines (excluding automatic data-processing machines and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		469	815	1179	1375	1162	235	160	68	34	77	93	59	28	5	5	6	0		765	828	1961	1300	1518	4631	497	200	53	103	98	300	92	416	126	145	0	
8709	"Works trucks, self-propelled, not fitted with lifting or handling equipment, of the type used ..."	0	0	0	0	0	0	0	0	0	3	1	2	0	1	0	5	0		773	941	616	387	1643	1552	1281	1649	1166	1136	1212	1354	588	3081	2103	2558	5530		1456	1831	1683	7278	3662	5230	9833	11371	4665	10723	11420	16834	14606	12901	24886	14819	10119	
8901	"Cruise ships, excursion boats, ferry-boats, cargo ships, barges and similar vessels for the ..."	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0		6736	6554	10286	17952	12622	9715	18181	13937	17527	18817	21687	1418	9509	7440	7333	1851	3568		487984	259729	59777	209363	734628	177085	544897	741008	622729	853556	1113558	664397	357382	212008	317837	139844	565685	
9007	"Cinematographic cameras and projectors, whether or not incorporating sound recording or reproducing ..."	0	59	0	5	0	10	0	7	0	3	5	3	0	0	0	0	0		769	600	904	1971	1184	2062	887	949	1367	268	534	652	788	1418	3164	2297	1150		817	2185	2463	3663	5898	4364	6075	5877	4338	3363	6102	2790	2518	1792	2470	1632	825	
9304	"Spring, air or gas guns and pistols, truncheons and other non-firearms (excluding swords, cutlasses, ..."	0	0	0	0	0	1	2	0	0	0	0	0	21	42	39	1	0		2352	5210	26284	34181	48369	49343	69163	78352	103070	125352	87697	131221	145266	175377	230134	241912	257548		695	472	563	697	1228	1646	2975	2539	1682	2489	1891	2461	2771	3109	3792	2826	3697	
9501	"Wheeled toys designed to be ridden by children, e.g. tricycles, scooters, pedal cars (excluding ..."	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0		2073	918	1242	1188	1176	2378	0	0	0	0	0	0	0	0	0	0	0		1522	1042	738	860	2915	3630	0	0	0	0	0	0	0	0	0	0	0	
9602	"Worked vegetable or mineral carving material and articles of these materials n.e.s; moulded ..."	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0		583	643	455	143	154	201	167	253	175	351	311	258	159	198	59	183	2384		2743	3647	4875	6886	7082	8032	8438	9508	8455	8401	9447	10337	13871	12847	14962	12589	14017	
9102	"Wrist-watches, pocket-watches and other watches, incl. stop-watches (excluding of precious ..."	0	0	7	0	0	0	0	0	27	0	0	0	0	0	2	0	0		1135	2687	2187	5755	5385	6517	9710	32132	8676	8640	13056	13632	16741	24583	37121	70396	61607		26470	39654	48491	78608	86565	95641	119070	149903	114186	174975	226111	201887	240993	236569	221112	190281	207896	
9108	"Watch movements, complete and assembled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		33	38	11	33	226	418	327	448	444	563	599	703	607	339	282	233	87		532	2408	2132	2193	2958	2589	1944	1379	1110	2077	2144	2255	3130	3014	2169	2690	2673	
9607	"Slide fasteners and parts thereof"	5	0	9	0	0	0	1	0	2	582	0	2	0	0	0	28	0		5552	5319	6625	8513	7227	6169	9305	8955	6356	7377	25828	9593	8400	9436	7800	7583	7902		27526	44017	57386	65182	63606	71695	85311	64770	49749	71160	71059	71632	75817	79726	64263	64713	71921	
0709	"Other vegetables, fresh or chilled (excluding potatoes, tomatoes, alliaceous vegetables, edible ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1929	1697	2061	3439	7872	10390	12489	16399	16196	19209	24362	24394	25120	28827	25833	28458	25769		30	52	141	240	389	472	968	3007	1910	1388	2458	2217	2891	2597	1887	1690	1315	
0712	"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared"	0	0	0	0	39	27	8	10	0	0	0	0	0	0	0	0	0		1716	2506	2822	3913	3428	3652	4121	3088	2776	2875	5988	7091	6385	5740	5784	6308	8041		1920	2555	5208	5171	4602	8140	9960	10523	7649	10245	10342	11548	12581	14088	18210	17331	20140	
0714	"Roots and tubers of manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	1	2	5	9	15	20	50	37	79	643	594	902	937		465	443	5	4	104	0	562	7014	10	9	11	11	2220	86	202	8616	35148	
0808	"Apples, pears and quinces, fresh"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4279	5935	6169	9373	10580	17504	22094	18850	12451	19142	19621	33354	25716	15893	24610	16511	18173		608	1299	1423	1672	3192	3291	4730	3475	4409	3070	6270	3822	2209	2875	1170	592	661	
1008	"Buckwheat, millet, canary seed and other cereals (excluding wheat and meslin, rye, barley, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0		843	949	2378	1344	2191	4535	5627	4082	5578	4321	7788	9949	7837	7338	7862	6801	8827		287	600	358	535	681	113	265	754	1051	1055	657	3941	1354	1985	2325	3543	3218	
1105	"Flour, meal, powder, flakes, granules and pellets of potatoes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		450	623	546	745	654	684	1157	869	916	639	808	540	649	1299	286	268	419		158	260	196	115	180	169	215	421	184	275	479	2318	3426	2413	2313	2897	3326	
1204	"Linseed, whether or not broken"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		699	655	1378	1388	1451	1048	1648	1263	1234	1436	3359	4249	4558	3123	2268	5223	8001		13	19	33	159	1610	2773	9675	573	432	2616	21389	54621	26212	24929	16896	69128	82802	
1205	"Rape or colza seeds, whether or not broken"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		66626	55609	12269	21967	63321	16720	173997	221916	201583	111356	111253	231046	270882	199914	226736	116728	117086		406	83	56	1578	18197	58364	103849	148132	66215	150379	72222	99439	78743	213819	115316	106635	28426	
